"name","website","contact_route","route_type","evidence_url","checked_on","notes","location"
"1st Heating Solutions LLC","","","none","","2026-09-03","no candidate domain resolved from the name","Yorktown Heights, NY"
"2 Grade, LLC","https://www.2grade.com/","hello@2grade.com","mailbox","https://www.2grade.com/","2026-09-03","dns-guess: site confirmed: full name in page; mailbox on homepage","Port Angeles, WA"
"2 Saab Construction Inc.","","","none","","2026-09-03","no site confirmed after 2 fetch(es); 2aabconstruction.com: fetch failed (dns/tls/timeout/blocked) | 2saabconstruction.com: page body empty; no site confirmed after 1 fetch(es); 2saabconstruction.com: page body empty","Brooklyn, NY"
"2 Teks Communication, Inc.","","","none","","2026-09-03","no candidate domain resolved from the name","Weston, FL"
"216 Resources, Inc","","","none","","2026-09-03","no site confirmed after 1 fetch(es); 216resources.com: http 503","New Orleans, LA"
"24Hrc","","","none","","2026-09-03","no site confirmed after 2 fetch(es); 24hrc.com: http 403 | 24hrc.us: http 403","Irvine, CA"
"2A LLC","","","none","","2026-09-03","no candidate domain resolved from the name","Aberdeen, MD"
"2Bg Venture LLC","","","none","","2026-09-03","no site confirmed after 1 fetch(es); 2bgventure.com: page body empty","Burr Ridge, IL"
"2H&V Construction Services, LLC","","","none","","2026-09-03","no candidate domain resolved from the name","Bonifay, FL"
"2H, LLC","","","none","","2026-09-03","no candidate domain resolved from the name","TX"
"2R Construction LLC","","","none","","2026-09-03","no candidate domain resolved from the name","Minden, LA"
"2XPC CORP.","","","none","","2026-09-03","no site confirmed after 1 fetch(es); 2xpc.com: page body empty","Irvington, NY"
"3 Bar 3 Civil, Corp","","","none","","2026-09-03","no site confirmed after 2 fetch(es); 3bar3civil.com: http 404 | barcivil.com: page body empty","Sonoita, AZ"
"3 Brothers Contracting Inc","","","none","","2026-09-03","websearch: no site confirmed after 2 fetch(es); 3brotherscontracting.com: page does not name the organisation | 3brothers.com: page does not name the organisation; websearch candidate https://www.threebrotherscontractor.com rejected: fetch failed (dns/tls/timeout/blocked)","Port Orchard, WA"
"3 Brothers Land Solutions, Inc","","","none","","2026-09-03","no site confirmed after 2 fetch(es); 3brothers.com: page does not name the organisation | brothersland.com: http 404","Goode, VA"
"3 Bull Contracting LLC","","","none","","2026-09-03","no candidate domain resolved from the name","Billings, MT"
"3 Kings Environmental Inc","https://3kingsenvironmental.com/","https://3kingsenvironmental.com/contact/","form","https://3kingsenvironmental.com/contact/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Battle Ground, WA"
"3 Panther Contracting LLC","","","none","","2026-09-03","no site confirmed after 1 fetch(es); 3panther.com: http 522","Louisville, KY"
"3 Phase Electric LLC","","","none","","2026-09-03","no site confirmed after 2 fetch(es); 3phaseelectric.com: weak name (3phaseelectric): page does not corroborate the location | 3-phase-electric.com: weak name (3phaseelectric): page does not corroborate the location","Johnson City, TX"
"3-Tier Alaska Capital Inc.","","","none","","2026-09-03","no candidate domain resolved from the name","Fairbanks, AK"
"306 Ssgf, LLC","","","none","","2026-09-03","no candidate domain resolved from the name","Atlanta, GA"
"360 Land Survey D. P. C.","https://360landsurvey.com/","https://360landsurvey.com/contact/","form","https://360landsurvey.com/contact/","2026-09-03","dns-guess: site confirmed: distinctive name in page; city/state corroborated; contact page fetched, no generic mailbox published","NY"
"365 Space Solutions","https://365spacesolutions.com/","https://365spacesolutions.com/contact/","form","https://365spacesolutions.com/contact/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Flemington, NJ"
"365 Tech Hub LLC","","","none","","2026-09-03","no site confirmed after 2 fetch(es); 365tech.net: parked/stub page (hugedomains) | 365techhub.us: weak name (365techhub): page does not corroborate the location","MD,MT,NM,UT"
"365 W Mechanical Corp.","https://365wmechanical.com/","info@365wmechanical.com","mailbox","https://365wmechanical.com/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; mailbox on homepage","Bronx, NY"
"3F Corporation","","","none","","2026-09-03","no candidate domain resolved from the name","IL"
"3Fold Ventures LLC","https://www.3foldventures.net/","admin@3foldventures.net","mailbox","https://www.3foldventures.net/","2026-09-03","dns-guess: site confirmed: full name in page; mailbox on homepage","Bradenton, FL"
"3H RESTORATION INC.","","","none","","2026-09-03","no candidate domain resolved from the name","Brooklyn, NY"
"3L & Company, Inc.","","","none","","2026-09-03","no site confirmed after 1 fetch(es); 3landco.com: page does not name the organisation","New York, NY"
"3Lw Civil LLC","https://www.3lwcivil.com/","careers@3lwcivil.com","mailbox","https://www.3lwcivil.com/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; mailbox on homepage","TX"
"3M Electric LLC","","","none","","2026-09-03","no site confirmed after 1 fetch(es); 3m-electric.com: page does not name the organisation","Springdale, AR"
"3Wire LLC Dba 3Wire Srvc LLC","","","none","","2026-09-03","no candidate domain resolved from the name","Mukilteo, WA"
"4 G Plumbing And Heating, Inc.","https://4gplumbing.com/","https://4gplumbing.com/contact-us/","form","https://4gplumbing.com/contact-us/","2026-09-03","websearch: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published; no candidate domain resolved from the name","Missoula, MT"
"4 Rivers Equipment LLC","https://4riversequipment.com/","info@4riversequipment.com","mailbox","https://4riversequipment.com/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; mailbox on homepage","Farmington, NM"
"4-M Hydro Sdng/Erosn Cntrl Inc","","","none","","2026-09-03","no candidate domain resolved from the name","Chehalis, WA"
"47 North Construction","","","none","","2026-09-03","no site confirmed after 1 fetch(es); 47north.us: page does not name the organisation","Post Falls, ID"
"4A Construction Corp","","","none","","2026-09-03","no site confirmed after 2 fetch(es); 4aconstructioncorp.com: fetch failed (dns/tls/timeout/blocked) | 4a-construction.com: fetch failed (dns/tls/timeout/blocked)","New York, NY"
"4D Construction Inc.","","","none","","2026-09-03","no site confirmed after 2 fetch(es); 4d-construction.com: page body empty | 4dconstruction.net: page body empty","Hollis, NY"
"4Holders LLC","https://www.4holders.com/","service@4holders.com","mailbox","https://www.4holders.com/","2026-09-03","register-website: site confirmed: full name in page; mailbox on homepage","Franklin Square, NY"
"4K Global-Acc Jv, LLC","","","none","","2026-09-03","no site confirmed after 1 fetch(es); 4kglobal.com: page body empty","Augusta, GA"
"5 BORO CONSTRUCTION SERVICES INC.","","","none","","2026-09-03","no candidate domain resolved from the name","East Elmhurst, NY"
"5 Star Masonry LLC","","","none","","2026-09-03","no site confirmed after 1 fetch(es); 5starmasonry.com: http 404","Mayfield, NY"
"509 Ductless LLC","https://509ductless.com/","office@509ductless.com","mailbox","https://509ductless.com/contact/","2026-09-03","dns-guess; gov-register: site confirmed: full name in page; city/state corroborated; mailbox on contact page; register: WA L&I statement-of-intent filings; site confirmed from the mailbox domain: full name in page; city/state corroborated","Selah, WA"
"5600 Fishers Lane LLC","","","none","","2026-09-03","no candidate domain resolved from the name","Chicago, IL"
"5J Excavation LLC","","","none","","2026-09-03","no candidate domain resolved from the name","Hagerman, ID"
"5J's Electrical Contractors Corp.","","","none","","2026-09-03","no site confirmed after 1 fetch(es); 5jselectrcial.com: fetch failed (dns/tls/timeout/blocked)","Astoria, NY"
"5X3 LLC","","","none","","2026-09-03","no site confirmed after 2 fetch(es); 5x3.com: page does not name the organisation | 5x3.net: page body empty","Springtown, TX"
"700 Nano LLC","","","none","","2026-09-03","no site confirmed after 2 fetch(es); the700nano.com: host does not carry the organisation name | 700nano.com: weak name (700nano): page does not corroborate the location","Rahway, NJ"
"716 Home Services LLC","","","none","","2026-09-03","no site confirmed after 2 fetch(es); 716homeservices.com: page does not name the organisation | 716home.com: page does not name the organisation","Sanborn, NY"
"718 Construction Group Inc.","","","none","","2026-09-03","no candidate domain resolved from the name","Corona, NY"
"740 Insaat Taahhut Ve Ticaret Limited Sirketi","","","none","","2026-09-03","no candidate domain resolved from the name",""
"745 ELECTRIC INC.","https://745electric.com/","info@745electric.com","mailbox","https://745electric.com/","2026-09-03","register-website: site confirmed: full name in page; city/state corroborated; mailbox on homepage","Brooklyn, NY"
"770 Electric Corp.","","","none","","2026-09-03","no site confirmed after 2 fetch(es); 770electriccorp.com: host does not carry the organisation name | 770electric.com: http 503","Cedarhurst, NY"
"8-Koi Inc","","","none","","2026-09-03","no site confirmed after 2 fetch(es); 8koi.com: page does not name the organisation | 8-koi.com: fetch failed (dns/tls/timeout/blocked)","Melbourne, FL"
"809 Solutions LLC","","","none","","2026-09-03","no site confirmed after 2 fetch(es); erectormasters.com: page does not name the organisation | 809solutions.com: weak name (809solutions): page does not corroborate the location","Bronx, NY"
"9050-6098 Quebec Inc.","","","none","","2026-09-03","no candidate domain resolved from the name",""
"A & A Holdings Corp","","","none","","2026-09-03","no site confirmed after 2 fetch(es); holdings.com: page does not name the organisation | holdings.net: page body empty","Fayetteville, NC"
"A & A Machinery Moving, Inc.","","","none","","2026-09-03","no site confirmed after 2 fetch(es); machinerymoving.com: page body empty | machinerymoving.net: page body empty","Morrisville, PA"
"A & A Plumbing Systems, Inc.","https://plumbingsystems.net/","https://plumbingsystems.net/contact/","form","https://plumbingsystems.net/contact/","2026-09-03","dns-guess: site confirmed: full name in page; contact page fetched, no generic mailbox published","Saint Albans, NY"
"A & A Roofing Co., Inc,","https://roofing.com/","info@roofing.com","mailbox","https://roofing.com/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; mailbox on homepage","Fairbanks, AK"
"A & B Contractors, LLC","","","none","","2026-09-03","no site confirmed after 1 fetch(es); bcontractors.com: page does not name the organisation","New York, NY"
"A & E Contracting of NY, Inc","","","none","","2026-09-03","no site confirmed after 2 fetch(es); econtracting.com: page does not name the organisation | econtracting.net: http 503","Staten Island, NY"
"A & F Electrical Testing Inc.","","","none","","2026-09-03","no site confirmed after 2 fetch(es); afelectricaltesting.com: http 503 | felectrical.com: page body empty","Nesconset, NY"
"A & G.V. Stucco Construction Corp.","","","none","","2026-09-03","no candidate domain resolved from the name","East Elmhurst, NY"
"A & H Plumbing & Htg. Co. Inc","","","none","","2026-09-03","no site confirmed after 2 fetch(es); hplumbing.com: page body empty | hplumbing.net: page body empty","IL"
"A & H-Ambica JV LLC","","","none","","2026-09-03","no candidate domain resolved from the name","GA,MI,MS,OH"
"A & K Slip Forming, Inc.","","","none","","2026-09-03","no site confirmed after 1 fetch(es); slipforming.com: host does not carry the organisation name","NY"
"A & N INSTALL LLC","","","none","","2026-09-03","no site confirmed after 1 fetch(es); ninstall.com: page body empty","Rochester, NY"
"A & P Ag Structures, Inc.","https://agstructures.com/","https://agstructures.com/contact","form","https://agstructures.com/contact","2026-09-03","dns-guess: site confirmed: distinctive name in page; contact page fetched, no generic mailbox published","Visalia, CA"
"A & P Remodeling Co Inc","","","none","","2026-09-03","no site confirmed after 1 fetch(es); premodeling.com: page body empty","Valley Stream, NY"
"A & S Electric, Inc.","","","none","","2026-09-03","no site confirmed after 2 fetch(es); aselectricincnyc.com: fetch failed (dns/tls/timeout/blocked) | selectric.com: weak name (selectric): page does not corroborate the location","Brooklyn, NY"
"A & S Steel Contractors Ltd","","","none","","2026-09-03","no candidate domain resolved from the name","Yonkers, NY"
"A & V Steel, LLC","","","none","","2026-09-03","no site confirmed after 2 fetch(es); vsteel.com: http 502 | v-steel.com: page does not name the organisation","Richmond Hill, NY"
"A 1 Construction Services LLC","","","none","","2026-09-03","no site confirmed after 2 fetch(es); 1constructionservices.com: page body empty | 1construction.com: page body empty","Coila, MS"
"A 2 Z Provision LLC","","","none","","2026-09-03","no candidate domain resolved from the name","Blanco, TX"
"A A A Fence Incorporated","","","none","","2026-09-03","no site confirmed after 2 fetch(es); fence.com: weak name (fence): page does not corroborate the location | fence.net: weak name (fence): page does not corroborate the location","Anchorage, AK"
"A Advanced Septic Services Inc","https://advancedsepticservices.com/","","none","https://advancedsepticservices.com/","2026-09-03","dns-guess: site confirmed: full name in page; no contact page found (homepage only)","Auburn, WA"
"A And W Electrical And Refrigeration A/C Inc","","","none","","2026-09-03","no site confirmed after 1 fetch(es); welectrical.com: page body empty","PR,VI"
"A B CONSTRUCTION & ROOFING, INC.","","","none","","2026-09-03","no site confirmed after 2 fetch(es); bconstruction.com: page body empty | bconstruction.net: parked/stub page (under construction)","NY"
"A Bee R.A.G. Service Inc.","","sales@abrags.org","mailbox","https://data.ny.gov/d/pfeu-dsx6","2026-09-03","gov-register: register: NYS Unified Certification Program DBE directory; mailbox domain not confirmed as the site: page does not name the organisation; no site confirmed after 1 fetch(es); abeeservices.com: fetch failed (dns/tls/timeout/blocked)","Mount Vernon, NY"
"A C Electric Service","","","none","","2026-09-03","no site confirmed after 2 fetch(es); celectric.com: page body empty | celectric.net: page does not name the organisation","Seatac, WA"
"A Hole In The Wall Construction","","","none","","2026-09-03","no candidate domain resolved from the name","Commerce City, CO"
"A Horn Inc","","","none","","2026-09-03","no site confirmed after 2 fetch(es); horn.com: page body empty | horn.net: fetch failed (dns/tls/timeout/blocked)","IL"
"A James Global Services, Inc.","https://www.ajamesglobal.com/","info@ajamesglobal.com","mailbox","https://www.ajamesglobal.com/","2026-09-03","register-website: site confirmed: full name in page; city/state corroborated; mailbox on homepage","Columbia, SC"
"A Lamp Concrete Contractors Inc.","","","none","","2026-09-03","no candidate domain resolved from the name","IL"
"A NEW WORLD CONTRACTING CO.","","","none","","2026-09-03","no site confirmed after 2 fetch(es); simoneworld.wixsite.com: http 404 | newworldcontracting.com: page body empty","Brooklyn, NY"
"A Peter Luger Construction Inc.","https://peterluger.com/","https://peterluger.com/pages/contact","form","https://peterluger.com/pages/contact","2026-09-03","dns-guess: site confirmed: distinctive name in page; city/state corroborated; contact page fetched, no generic mailbox published","South Richmond Hill, NY"
"A Plus Modern Construction Inc.","","","none","","2026-09-03","no site confirmed after 2 fetch(es); aplusmodernconstruction.com: http 404 | plusmodern.com: page body empty","Brooklyn, NY"
"A R Brothers Construction Services, Inc.","","","none","","2026-09-03","no site confirmed after 1 fetch(es); rbrothers.com: page does not name the organisation","TX"
"A Roman Enterprises LLC","","","none","","2026-09-03","no site confirmed after 2 fetch(es); roman-enterprises.com: page body empty | romanenterprises.org: parked/stub page (under construction)","Mechanicville, NY"
"A T S Automation Inc","","","none","","2026-09-03","no site confirmed after 2 fetch(es); tsautomation.com: page body empty | tsautomation.us: page does not name the organisation","Renton, WA"
"A Tech Electric Enterprises, Inc.","","","none","","2026-09-03","no site confirmed after 1 fetch(es); techelectric.com: page does not name the organisation","Bronx, NY"
"A Total Solution LLC","","","none","","2026-09-03","no site confirmed after 2 fetch(es); totalsolution.com: weak name (totalsolution): page does not corroborate the location | total-solution.com: page does not name the organisation","Fisherville, KY"
"A&A Industrial","","","none","","2026-09-03","no site confirmed after 2 fetch(es); nycflagrepair.com: page does not name the organisation | industrial.com: page body empty","Queens Village, NY"
"A&B Light Heat and Power Corporation","","","none","","2026-09-03","no candidate domain resolved from the name","N Tonawanda, NY"
"A&B Painting & Contracting Corp.","","","none","","2026-09-03","no site confirmed after 2 fetch(es); abcontractingco.com: redirects to a directory/social host (www.houzz.com) | bpainting.com: page body empty","Mineola, NY"
"A&D Enterprises LLC","","payroll@aanddent.com","mailbox","https://data.wa.gov/d/t9je-9qwa","2026-09-03","gov-register: register: WA L&I statement-of-intent filings; mailbox domain did not answer (http 0); no site confirmed after 2 fetch(es); d-enterprises.com: page body empty | denterprises.net: page does not name the organisation","Olympia, WA"
"A&E Elevator II LLC","","","none","","2026-09-03","no site confirmed after 1 fetch(es); elevatorii.com: http 503; no site confirmed after 1 fetch(es); elevatorii.com: fetch failed (dns/tls/timeout/blocked)","Shrewsbury, PA"
"A&E Elevator, LLC","","","none","","2026-09-03","no site confirmed after 1 fetch(es); e-elevator.com: http 502","Shrewsbury, PA"
"A&H Roadwurx Inc","","","none","","2026-09-03","no candidate domain resolved from the name","Buckley, WA"
"A&J Crane Service Inc.","https://anjcranes.com/","http://anjcranes.com/contact-us/","form","http://anjcranes.com/contact-us/","2026-09-03","register-website: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Wyandanch, NY"
"A&J Excavation INC.","","","none","","2026-09-03","no candidate domain resolved from the name","Central Bridge, NY"
"A&K Specialty Contractors Inc","","","none","","2026-09-03","no site confirmed after 2 fetch(es); kspecialty.com: page body empty | kspecialty.net: page body empty","IL"
"A&R Mechanical Contractors","","","none","","2026-09-03","no site confirmed after 2 fetch(es); rmechanical.com: page body empty | rmechanical.us: page body empty","IL"
"A&R Pressure Wsh & Steam Clng","","","none","","2026-09-03","no candidate domain resolved from the name","Tacoma, WA"
"A&W Plumbing And Heating Inc","","","none","","2026-09-03","no site confirmed after 1 fetch(es); wplumbing.com: page does not name the organisation","IL"
"A+ Electric of Greater New York, Inc.","","","none","","2026-09-03","no site confirmed after 2 fetch(es); apluselec.com: host does not carry the organisation name | greaternewyork.com: http 503","Jamaica, NY"
"A+ Expediting Inc.","","","none","","2026-09-03","no site confirmed after 2 fetch(es); nycpermitnow.com: host does not carry the organisation name | expediting.com: page body empty","Staten Island, NY"
"A+ Technology & Security Solutions, Inc.","","","none","","2026-09-03","no site confirmed after 1 fetch(es); technologysecurity.com: page does not name the organisation","NY"
"A-1 Dot Solutions LLC","","","none","","2026-09-03","no candidate domain resolved from the name","TX"
"A-1 Elevator Service, LLC","","office@a1elevator.net","mailbox","https://data.nola.gov/d/q42h-ptn2","2026-09-03","gov-register: register: New Orleans DBE/SLDBE directory; mailbox domain not confirmed as the site: host does not carry the organisation name; no site confirmed after 2 fetch(es); a1elevator.net: http 526 | 1elevator.com: parked/stub page (hugedomains)","New Orleans, LA"
"A-1 Roofing Company","","","none","","2026-09-03","no site confirmed after 2 fetch(es); 1roofing.com: parked/stub page (hugedomains) | 1-roofing.com: parked/stub page (under construction)","IL"
"A-1 Sheffield Team LLC","","","none","","2026-09-03","no candidate domain resolved from the name","Miami, FL"
"A-Absolute Comfort Htg/Clg Inc","https://www.absolutecomfort.com/","office@a-absolutecomfort.com","mailbox","https://data.wa.gov/d/t9je-9qwa","2026-09-03","gov-register; dns-guess: register: WA L&I statement-of-intent filings; mailbox domain not confirmed as the site: parked/stub page (under construction); site confirmed: two distinctive tokens in page; city/state corroborated; contact page fetched, no generic mailbox published","Oregon City, OR"
"A-Dec Inc","","","none","","2026-09-03","no site confirmed after 2 fetch(es); dec.com: page does not name the organisation | dec.net: page does not name the organisation","Newberg, OR"
"A-I Transit Mix Inc.","","","none","","2026-09-03","no site confirmed after 2 fetch(es); a1transitmix.com: fetch failed (dns/tls/timeout/blocked) | transitmix.net: http 403","Bronx, NY"
"A-Plus K&K JV Inc","","","none","","2026-09-03","no candidate domain resolved from the name","Newberry, MI"
"A-Tech Concrete Company, Inc.","","","none","","2026-09-03","no candidate domain resolved from the name","NY"
"A-Vet/Mgc II A Joint Venture, LLC","","","none","","2026-09-03","no candidate domain resolved from the name","Warner Robins, GA"
"A-Zone Environmental Services, LLC","","","none","","2026-09-03","no candidate domain resolved from the name","Kearneysville, WV"
"A. Colarusso & Son, Inc.","","","none","","2026-09-03","no candidate domain resolved from the name","NY"
"A. DI LEMME CONTRACTING INC.","","","none","","2026-09-03","no site confirmed after 1 fetch(es); dilemme.com: page body empty","Valley Stream, NY"
"A. J. Vater & Co Inc","","","none","","2026-09-03","no candidate domain resolved from the name","Mckees Rocks, PA"
"A. K. Gillis & Sons, LLC","","","none","","2026-09-03","no candidate domain resolved from the name","TX"
"A. L. Helmcamp, Inc.","","","none","","2026-09-03","no candidate domain resolved from the name","TX"
"A. Preman Roofing, Inc.","https://www.premanroofing.com/","https://www.premanroofing.com/contact/","form","https://www.premanroofing.com/contact/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","San Diego, CA"
"A. Treffeisen & Sons, LLC","","","none","","2026-09-03","no candidate domain resolved from the name","NY"
"A. W. FARRELL & SON, INC.","","","none","","2026-09-03","no candidate domain resolved from the name","NY"
"A.D.A. Traffic Control LTD.","https://www.trafficmanagement.com/","https://www.trafficmanagement.com/contact-us","form","https://www.trafficmanagement.com/contact-us","2026-09-03","dns-guess: site confirmed: distinctive name in page; contact page fetched, no generic mailbox published","Colchester, VT"
"A.G.C., Inc.","","","none","","2026-09-03","no site confirmed after 2 fetch(es); g-c.com: page body empty | g-c.org: http 503","Kalispell, MT"
"A.J. McNulty & Company, Inc.","https://www.ajmcnulty.com/","info@ajmcnulty.com","mailbox","https://www.ajmcnulty.com/","2026-09-03","register-website: site confirmed: full name in page; city/state corroborated; mailbox on homepage","Maspeth, NY"
"A.M. Communications Solutions, Inc.","","","none","","2026-09-03","no site confirmed after 1 fetch(es); mcommunications.com: page does not name the organisation","Dover, PA"
"A.M.E., Inc.","","","none","","2026-09-03","no site confirmed after 2 fetch(es); ame-inc.com: page does not name the organisation | m-e.com: page body empty","Fairfield, NJ"
"A.M.J Electric Corp","","","none","","2026-09-03","no site confirmed after 2 fetch(es); mjelectric.com: weak name (mjelectric): page does not corroborate the location | mjelectric.net: weak name (mjelectric): page does not corroborate the location","Brooklyn, NY"
"A.N.J. Electric, Inc.","","","none","","2026-09-03","no site confirmed after 2 fetch(es); njelectric.com: parked/stub page (index of /) | njelectric.net: page body empty","IL"
"A.O.W. ASSOCIATES, INC.","","","none","","2026-09-03","no site confirmed after 1 fetch(es); owassociates.com: page does not name the organisation","NY"
"A.P. Cohen Consulting","","","none","","2026-09-03","no site confirmed after 1 fetch(es); apcohenconsulting.com: fetch failed (dns/tls/timeout/blocked)","Brooklyn, NY"
"A.R. PIERREPONT CO. INC.","","","none","","2026-09-03","no candidate domain resolved from the name","NY"
"A.R.E. Design & Build, LLC","","","none","","2026-09-03","no site confirmed after 2 fetch(es); redesignbuild.com: parked/stub page (domain for sale) | designbuild.com: page does not name the organisation","Houston, TX"
"A.R.N. Tile, Inc.","","","none","","2026-09-03","no candidate domain resolved from the name","Setauket, NY"
"A.T.J. Electrical CO., INC.","","","none","","2026-09-03","no site confirmed after 2 fetch(es); tjelectrical.com: parked/stub page (under construction) | tjelectrical.net: http 404","College Point, NY"
"A.V. SON CONSTRUCTION INC","","","none","","2026-09-03","no candidate domain resolved from the name","Jamaica, NY"
"A.V.B","","","none","","2026-09-03","no site confirmed after 2 fetch(es); v-b.com: http 503 | v-b.net: page body empty",""
"A1 Door Company","","","none","","2026-09-03","no site confirmed after 2 fetch(es); a1door.com: host does not carry the organisation name | a1-door.com: page does not name the organisation","North Chesterfield, VA"
"A1 Home Improvement LLC","","","none","","2026-09-03","no site confirmed after 1 fetch(es); a1homeimprovement.com: page body empty","Berlin, CT"
"A1 Quality Blinds","https://www.a1qualityblinds.com/","info@a1qualityblinds.com","mailbox","https://www.a1qualityblinds.com/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; mailbox on homepage","San Diego, CA"
"A1 Reliable Industries Corporation","https://www.a1reliableindustries.com/","","none","https://www.a1reliableindustries.com/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; no contact page found (homepage only)","NY"
"A3 Pro West, Inc.","https://a3prowest.com/","","none","https://a3prowest.com/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; no contact page found (homepage only)","Sacramento, CA"
"A3 Systems Corporation","","","none","","2026-09-03","no site confirmed after 1 fetch(es); a3-systems.com: weak name (a3systems): page does not corroborate the location","Chester, VA"
"A4 Services LLC","","","none","","2026-09-03","no site confirmed after 2 fetch(es); a4services.com: page does not name the organisation | a4-services.com: page body empty","Cabot, AR"
"AA & SP Contractors Corp","","","none","","2026-09-03","no candidate domain resolved from the name","East Meadow, NY"
"Aa Asphalting LLC","https://www.aaasphalting.com/","info@aaasphalting.com","mailbox","https://www.aaasphalting.com/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; mailbox on homepage","Sumner, WA"
"Aa&A Maintenance, LLC","","","none","","2026-09-03","no site confirmed after 2 fetch(es); aamaintenance.com: page does not name the organisation | aa-maintenance.com: weak name (aamaintenance): page does not corroborate the location","Helena, MT"
"Aaa Complete Building Services Inc.","","","none","","2026-09-03","websearch: no site confirmed after 2 fetch(es); aaacompletebuildingservices.com: page body empty | aaacomplete.com: page does not name the organisation; websearch candidate https://completebuildingservices.com rejected: page does not name the organisation","Washington, DC"
"AAA Concrete Inc","","","none","","2026-09-03","no site confirmed after 2 fetch(es); aaaconcrete.com: page body empty | aaa-concrete.com: redirects to a directory/social host (dianaargueta934-pqdhb.wordpress.com)","Moses Lake, WA"
"AAA Environmental and Construction Services LLC","","","none","","2026-09-03","no site confirmed after 1 fetch(es); aaaenvironmental.com: page does not name the organisation","Binghamton, NY"
"Aaa Fire Protection Inc","https://aaafireprotection.com/","https://aaafireprotection.com/index.php/contact-us/","form","https://aaafireprotection.com/index.php/contact-us/","2026-09-03","dns-guess: site confirmed: full name in page; contact page fetched, no generic mailbox published","Seattle, WA"
