"name","website","contact_route","route_type","evidence_url","checked_on","notes","location"
"APCCO","https://apcco.net/","quotes@apcco.net","mailbox","https://apcco.net/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; mailbox on homepage","Modesto, CA"
"Apex Service Partners","","","none","","2026-09-03","no site confirmed after 2 fetch(es); apexservicepartners.com: http 403 | apexservice.com: page does not name the organisation","Tampa, FL"
"Apollo Heating, Cooling & Plumbing","https://gotoapollo.com/","dispatch@gotoapollo.com","mailbox","https://gotoapollo.com/contact-us/","2026-09-03","register-website: site confirmed: distinctive name in page; city/state corroborated; mailbox on contact page","Kent, OH"
"Apollo Home","https://apollohome.com/","https://apollohome.com/contact-us/","form","https://apollohome.com/contact-us/","2026-09-03","register-website: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Cincinnati, OH"
"Apple Roofing","","","none","","2026-09-03","no site confirmed after 2 fetch(es); appleroofing.com: page body empty | apple-roofing.com: weak name (appleroofing): page does not corroborate the location",""
"Arctic Air Conditioning","https://www.arcticac.com/","https://www.arcticac.com/contact/","form","https://www.arcticac.com/contact/","2026-09-03","register-website: site confirmed: two distinctive tokens in page; city/state corroborated; contact page fetched, no generic mailbox published","Old Bridge, NJ"
"Arctic Bear Plumbing, Heating & Air","","","none","","2026-09-03","no site confirmed after 2 fetch(es); arcticbear.com: parked/stub page (domain is for sale) | arcticbear.net: page does not name the organisation",""
"Arctic Engineering","https://arcticengineering.com/","https://arcticengineering.com/contact-us/","form","https://arcticengineering.com/contact-us/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Merrillville, IN"
"Arlinghaus Plumbing, Heating and Air Conditioning","","","none","","2026-09-03","no site confirmed after 2 fetch(es); arlinghausair.com: page does not name the organisation | arlinghausplumbing.com: page does not name the organisation","Greater Cincinnati Area"
"Armistead Mechanical","https://www.armisteadmechanical.com/","info@armisteadmechanical.com","mailbox","https://www.armisteadmechanical.com/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; mailbox on homepage","Newburgh, NY"
"Astacio Plumbing & HVAC","","","none","","2026-09-03","no site confirmed after 1 fetch(es); astacioplumbing.com: page does not name the organisation","Norwalk, CT"
"Astar Heating & Air","https://www.astarheating.com/","https://www.astarheating.com/contact-us/","form","https://www.astarheating.com/contact-us/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Middletown, NY"
"Atlantic Air Systems","https://www.atlanticairsystems.com/","https://www.atlanticairsystems.com/contact/careers","form","https://www.atlanticairsystems.com/contact/careers","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Toms River, New Jersey"
"Atlantic Cooling","https://www.atlanticcooling.com/","info@atlanticcooling.com","mailbox","https://www.atlanticcooling.com/contact-us","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; mailbox on contact page","Carlstadt, NJ"
"Auchinachie Services","","","none","","2026-09-03","no candidate domain resolved from the name","Binghamton, NY"
"Automated Solutions Group","","","none","","2026-09-03","no site confirmed after 2 fetch(es); automatedsolutionsgroup.com: parked/stub page (domain may be for sale) | automatedsolutions.com: page does not name the organisation","San Jose, CA"
"Aztec Plumbing & Drains","https://www.aztecplumbing.net/","https://www.aztecplumbing.net/contact","form","https://www.aztecplumbing.net/contact","2026-09-03","register-website: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Fort Myers, FL"
"B&J Plumbing, Heating, and Air Conditioning","https://www.bjplumbing.com/","https://www.bjplumbing.com/contact-us/","form","https://www.bjplumbing.com/contact-us/","2026-09-03","register-website: site confirmed: full name in page; contact page fetched, no generic mailbox published",""
"B&L Ott Heating & Air Conditioning","","","none","","2026-09-03","no candidate domain resolved from the name",""
"B.T. Lindsay & CO., Inc","","","none","","2026-09-03","no candidate domain resolved from the name","West Hartford, CT"
"Bailey Plumbing & Heating","https://baileyheating.com/","https://baileyheating.com/contact-us/","form","https://baileyheating.com/contact-us/","2026-09-03","dns-guess: site confirmed: distinctive name in page; contact page fetched, no generic mailbox published",""
"Bailey’s Comfort Systems","https://www.baileyscomfortservices.com/","https://www.baileyscomfortservices.com/contact","form","https://www.baileyscomfortservices.com/contact","2026-09-03","dns-guess: site confirmed: two distinctive tokens in page; contact page fetched, no generic mailbox published",""
"Baker Brothers Plumbing, Air & Electric","https://bakerbrothersplumbing.com/","https://bakerbrothersplumbing.com/about-us/contact-us/","form","https://bakerbrothersplumbing.com/about-us/contact-us/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Dallas, TX"
"Bear Mountain Mechanical","https://bearmountainmechanical.com/","","none","https://bearmountainmechanical.com/","2026-09-03","dns-guess: site confirmed: full name in the page source (JavaScript-rendered page); city/state corroborated; no contact page found (homepage only)","Englewood, CO"
"Bee's Plumbing","","","none","","2026-09-03","no site confirmed after 2 fetch(es); beesplumbing.com: page body empty | beesplumbing.net: page does not name the organisation","Seattle, WA"
"Bell Brothers Heating and Air Conditioning","https://bellbrothers.com/","https://bellbrothers.com/contact-us","form","https://bellbrothers.com/contact-us","2026-09-03","register-website: site confirmed: two distinctive tokens in page; city/state corroborated; contact page fetched, no generic mailbox published","Des Moines, IA"
"Beltaway Air Conditioning Heating & Plumbing","","","none","","2026-09-03","no candidate domain resolved from the name","Hanover, Maryland"
"BERCO","https://www.berco.com/","https://www.berco.com/group/about/","form","https://www.berco.com/group/about/","2026-09-03","dns-guess: site confirmed: full name in page; contact page fetched, no generic mailbox published","Cape Coral, FL"
"Berg Industrial Service","","","none","","2026-09-03","no site confirmed after 1 fetch(es); bergindustrial.com: page does not name the organisation","6355 Shawson Dr, Mississauga, ON L5T 1L8, Canada"
"Berkeys Air Conditioning, Plumbing & Electrical","","","none","","2026-09-03","no site confirmed after 1 fetch(es); berkeysair.com: page does not name the organisation","Dallas/Fort Worth, TX"
"Bertke","https://www.bertke.com/","https://www.bertke.com/contact-us/","form","https://www.bertke.com/contact-us/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Cincinnati, OH"
"BEST Air Conditioning Plumbing Repair","https://bestairconditioningplumbingrepair.com/","https://bestairconditioningplumbingrepair.com/contact-us/","form","https://bestairconditioningplumbingrepair.com/contact-us/","2026-09-03","register-website: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Las Vegas, NV"
"Best Care Home Services","https://bestcarehomeservices.com/","https://bestcarehomeservices.com/about-us/","form","https://bestcarehomeservices.com/about-us/","2026-09-03","register-website: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Memphis, TN"
"BEST Heating & Air Conditioning Service","https://www.bestheating.com/","info@bestheating.com","mailbox","https://www.bestheating.com/contact-us","2026-09-03","dns-guess: site confirmed: two distinctive tokens in page; mailbox on contact page","West Lafayette, OH"
"Best Home Services","","","none","","2026-09-03","no site confirmed after 2 fetch(es); besthomeservices.com: parked/stub page (sedo.com) | besthome.com: host does not carry the organisation name","Naples, FL"
"Best in Class Technology Services","","","none","","2026-09-03","no site confirmed after 2 fetch(es); bestinclasstechnologyservices.com: host does not carry the organisation name | bestinclass.com: http 525",""
"Bieg","","","none","","2026-09-03","no site confirmed after 2 fetch(es); bieg.com: page does not name the organisation | bieg.net: fetch failed (dns/tls/timeout/blocked); no site confirmed after 2 fetch(es); bieg.com: page does not name the organisation | bieg.net: page does not name the organisation","St. Louis, MO"
"Black Diamond","https://black-diamond.com/","info@black-diamond.com","mailbox","https://black-diamond.com/","2026-09-03","dns-guess: site confirmed: full name in page; mailbox on homepage","Salt Lake City, UT"
"Black Hills","https://www.blackhillsinc.com/","https://www.blackhillsinc.com/contact-us/","form","https://www.blackhillsinc.com/contact-us/","2026-09-03","register-website: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Olympia, WA"
"Black Plumbing, Heating & Air","https://blackplumbing.com/","https://blackplumbing.com/contact-us/","form","https://blackplumbing.com/contact-us/","2026-09-03","register-website: site confirmed: two distinctive tokens in page; contact page fetched, no generic mailbox published",""
"Blake Brothers","https://blakebrothers.com/","https://blakebrothers.com/contact-us/","form","https://blakebrothers.com/contact-us/","2026-09-03","register-website: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Huntsville, AL"
"Blanton's Air, Plumbing & Electric","","","none","","2026-09-03","no site confirmed after 2 fetch(es); blantons.com: page does not name the organisation | blantonair.com: page body empty","Fayetteville, North Carolina"
"Blue Frost Heating & Cooling","","","none","","2026-09-03","no site confirmed after 2 fetch(es); bluefrost.com: page body empty | bluefrost.net: http 503; no site confirmed after 2 fetch(es); bluefrost.com: page body empty | bluefrost.net: fetch failed (dns/tls/timeout/blocked)","Geneva, Illinois"
"Blue Ox Heating & Air","https://goblueox.com/","https://goblueox.com/contact/","form","https://goblueox.com/contact/","2026-09-03","register-website: site confirmed: full name in page; contact page fetched, no generic mailbox published",""
"Blue Works","","","none","","2026-09-03","no site confirmed after 2 fetch(es); blueworks.com: weak name (blueworks): page does not corroborate the location | blue-works.com: weak name (blueworks): page does not corroborate the location",""
"BluFlame Service Co.","","","none","","2026-09-03","no candidate domain resolved from the name","Toledo, Ohio"
"BME","","","none","","2026-09-03","no site confirmed after 2 fetch(es); bme.com: page does not name the organisation | bme.net: page body empty","Burlington, KY"
"Bonsky Heating and Cooling","","","none","","2026-09-03","no candidate domain resolved from the name","Uniontown, OH"
"Boothe's Heating, Air and Plumbing","","","none","","2026-09-03","no site confirmed after 1 fetch(es); boothes.com: page body empty","Southern Maryland"
"Boston Standard","","","none","","2026-09-03","no site confirmed after 1 fetch(es); bostonstandard.com: page body empty","Mattapan, MA"
"Bowers Group","https://bowersgroup.com/","sales@bowersgroup.com","mailbox","https://bowersgroup.com/","2026-09-03","dns-guess: site confirmed: full name in page; mailbox on homepage",""
"Brackett Heating, Air & Plumbing","","","none","","2026-09-03","no candidate domain resolved from the name","Evansville, Indiana"
"Breen & Sullivan Mechanical Services","","","none","","2026-09-03","no candidate domain resolved from the name","Newburyport, MA"
"Brian Cox Mechanical","https://www.briancoxmechanical.com/","info@briancoxmechanical.com","mailbox","https://www.briancoxmechanical.com/contact-us","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; mailbox on contact page","Ontario, CA"
"BriteBox Electrical Services","https://briteboxelectrical.com/","","none","https://briteboxelectrical.com/","2026-09-03","dns-guess: site confirmed: full name in page; no contact page found (homepage only)","Metro Atlanta, GA"
"Brothers Plumbing, Heating & Electric","https://www.brothersplumbing.com/","https://www.brothersplumbing.com/about/","form","https://www.brothersplumbing.com/about/","2026-09-03","register-website: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Denver, CO"
"Buckeye Heating, Cooling & Plumbing","","","none","","2026-09-03","no candidate domain resolved from the name","Columbus, OH"
"Buckner’s Heating & Cooling","","","none","","2026-09-03","no site confirmed after 2 fetch(es); buckners.com: page body empty | buckners.net: parked/stub page (under construction)","Kansas City, Missouri"
"Buehler Air Conditioning","https://buehlerair.com/","https://buehlerair.com/contact-us/","form","https://buehlerair.com/contact-us/","2026-09-03","dns-guess: site confirmed: full name in page; contact page fetched, no generic mailbox published",""
"Buehler Air, Plumbing & Electric","https://buehlerair.com/","https://buehlerair.com/contact-us/","form","https://buehlerair.com/contact-us/","2026-09-03","register-website: site confirmed: distinctive name in page; contact page fetched, no generic mailbox published",""
"Building Automation Solutions","","","none","","2026-09-03","no site confirmed after 2 fetch(es); buildingautomationsolutions.com: weak name (buildingautomationsolutions): page does not corroborate the location | buildingautomationsolutions.net: page body empty","Madison, WI"
"Bumble Breeze","https://www.bumblebreeze.com/","https://www.bumblebreeze.com/contact-us/","form","https://www.bumblebreeze.com/contact-us/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Las Vegas, NV"
"Burns & McBride Home Comfort","","","none","","2026-09-03","no candidate domain resolved from the name","New Castle County, Delaware"
"C&C Air Conditioning & Heating","https://airconditioningheating.com/","","none","https://airconditioningheating.com/","2026-09-03","dns-guess: site confirmed: distinctive name in page; no contact page found (homepage only)",""
"C2 Technology Group","","","none","","2026-09-03","no site confirmed after 2 fetch(es); c2technologygroup.com: weak name (c2technologygroup): page does not corroborate the location | c2technology.com: page does not name the organisation",""
"CALL DAD","https://www.calldad.com/","info@calldad.com","mailbox","https://www.calldad.com/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; mailbox on homepage","Charlotte, North Carolina"
"CAM HVAC and Construction","","","none","","2026-09-03","no site confirmed after 1 fetch(es); camhvac.com: page does not name the organisation",""
"Campbell & Company","https://trustcampbell.com/","https://trustcampbell.com/contact/","form","https://trustcampbell.com/contact/","2026-09-03","register-website: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Pasco, WA"
"Canopy Services","","","none","","2026-09-03","no site confirmed after 2 fetch(es); canopyservices.com: page does not name the organisation | canopyservices.org: weak name (canopyservices): page does not corroborate the location",""
"Capstone Mechanical","https://www.capstonemechanical.com/","","none","https://www.capstonemechanical.com/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; no contact page found (homepage only)","Waco, TX"
"Cardinal Heating, Cooling, Plumbing, & Electric","https://cardinalheating.com/","office@cardinalheating.com","mailbox","https://cardinalheating.com/","2026-09-03","dns-guess: site confirmed: two distinctive tokens in page; mailbox on homepage","Madison, WI"
"Cardinal Plumbing Heating & Air","","","none","","2026-09-03","no site confirmed after 2 fetch(es); cardinalplumbing.com: page body empty | cardinalplumbing.net: page does not name the organisation; no site confirmed after 2 fetch(es); cardinalplumbing.com: page body empty | cardinalplumbing.net: http 503","Sterling, Virginia"
"Carolina Chillers","https://carolinachillers.com/","https://carolinachillers.com/contact-us","form","https://carolinachillers.com/contact-us","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Florence, SC"
"Carolina Cool","https://carolinacool.com/","service@carolinacool.com","mailbox","https://carolinacool.com/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; mailbox on homepage","Myrtle Beach, SC"
"Carpenters Roofing","https://www.carpentersroofing.com/","https://www.carpentersroofing.com/contact","form","https://www.carpentersroofing.com/contact","2026-09-03","dns-guess: site confirmed: full name in page; contact page fetched, no generic mailbox published",""
"Carter’s Plumbing","","","none","","2026-09-03","no site confirmed after 2 fetch(es); cartersplumbing.com: parked/stub page (this domain is for sale) | carters.com: http 403","Southeast Michigan"
"Cassell Brothers Heating & Cooling","https://cassellbros.com/","https://cassellbros.com/contact","form","https://cassellbros.com/contact","2026-09-03","register-website: site confirmed: two distinctive tokens in page; city/state corroborated; contact page fetched, no generic mailbox published","Irmo, SC"
"Caswell Mechanical","https://www.caswellmechanical.com/","info@caswellmechanical.com","mailbox","https://www.caswellmechanical.com/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; mailbox on homepage","Boston, MA"
"Caswell Schena Electric","","","none","","2026-09-03","no candidate domain resolved from the name","Boston, MA"
"CBW Mechanical","https://cbwmechanical.com/","https://cbwmechanical.com/contact-us","form","https://cbwmechanical.com/contact-us","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Baltimore, MD"
