"app","prospect_type","segment","name","website","location","size_signal","fit_rationale","contact_route","decision_maker_role","source_url","source_type","confidence","collected_on","notes"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Performance Systems Intgn LLC","","Portland, OR","1165 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-09-01; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Davis Door Service Inc","","Seattle, WA","1108 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-09-01; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Signature Landscape Svcs LLC","","Woodinville, WA","1049 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-27; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Hm Pacific Northwest Inc","","Irving, TX","1006 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-24; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Apollo Mechanical Contractors","","Kennewick, WA","946 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-09-01; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Hobart","","Spokane, WA","920 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-09-01; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Ralph's Concrete Pumping","","Seattle, WA","899 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-25; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Prime Electric LLC","","Bellevue, WA","870 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-09-01; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Convergint Technologies LLC","","Renton, WA","828 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-09-01; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Security Solutions NW LLC","","Bellingham, WA","827 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-20; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Cosco Fire Protection Inc","","Tukwila, WA","804 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-31; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Olson Brothers Pro-Vac LLC","","Kent, WA","800 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-24; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Siemens Industry Inc","","Buffalo Grove, IL","756 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-09-01; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Nwap Inc","","Woodinville, WA","751 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-28; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Sme Solutions LLC","","Tacoma, WA","747 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-25; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Everon LLC","","Boca Raton, FL","729 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-09-01; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Resicon LLC","","University Place, WA","715 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-25; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","All City Fence Co","","Seattle, WA","698 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-25; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Lakeside Industries Inc","","Issaquah, WA","693 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-09-01; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Sunset Air Inc","","Lacey, WA","692 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-19; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","A C Electric Service","","Seatac, WA","639 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-25; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Ednetics Inc","","Post Falls, ID","636 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-27; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","E C Company","","Portland, OR","609 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-27; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Red Hawk Fire Protection LLC","","Puyallup, WA","609 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-27; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Commercial Fire Protection Inc","","Mount Vernon, WA","609 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-07-07; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","West Coast Mech Sltns LLC","","Olympia, WA","609 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-09-01; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Hermanson Company LLP","","Kent, WA","596 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2025-11-19; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Sequoyah Electric LLC","","Redmond, WA","592 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-09-01; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Forma Construction Company","","Olympia, WA","588 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-09-01; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Tk Elevator Corporation","","Kirkland, WA","588 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-24; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","GB Manchester Inc","","Vancouver, WA","559 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-28; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","C T S","","Tacoma, WA","551 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-09-01; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Cressy Door Co Inc","","Kent, WA","551 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-25; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Janke Trucking Inc","","Napavine, WA","543 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-25; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Control Solutions NW Inc","","Spokane Valley, WA","498 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-26; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Flohawks","","Irving, TX","492 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2025-11-25; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","A T S Automation Inc","","Renton, WA","486 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-24; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Mascott Equipment Co Inc","","Portland, OR","483 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-20; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","American Rock Products","","Spokane, WA","467 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-23; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Barron Heating & A/C Inc","","Ferndale, WA","464 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-28; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Electrocom","","Mountlake Ter, WA","459 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-09-01; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Dimensional Communications Inc","","Mount Vernon, WA","457 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-09-01; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Garland/Dbs Inc","","Cleveland, OH","452 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-31; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Wayne'S Roofing Inc","","Sumner, WA","451 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-09-01; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Trs Mechanical Inc","","Tacoma, WA","447 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-09-01; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Intracommunication Ntwk Sys In","","Tacoma, WA","445 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-31; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Cmmty Actn Cncl-21,23,34 Cntys","","Lacey, WA","440 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-24; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Johnson Controls Inc","","Bothell, WA","436 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-06; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Legacy Telecommunications, LLC","","White Plains, NY","431 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-03-17; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Trane","","Bellevue, WA","430 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-26; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Interstate Concrete/Asphalt Co","","Rathdrum, ID","425 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-25; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Roto Rooter Services Co","","Kent, WA","421 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-21; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","CAZ Energy Audits LLC","","Bellingham, WA","418 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-24; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Ground Up Road Const Inc","","Milton, WA","416 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-24; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Nrc Environmental Services Inc","","Seattle, WA","414 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-24; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Day Wireless Systems","","Milwaukie, OR","414 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-26; contractor licence n/a"
