"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01041","5","238","75","0","2025","A","",18,93,5228294,928565,7379,1085,56420,"",1.20,0.81,0.91,0.68,0.65,1.13,1.13,"",0,0.0,7,8.1,-119476,-2.2,84262,10.0,846,12.9,-109,-9.1,-5643,-9.1
"01043","5","238","75","0","2025","A","",194,924,53849972,10201496,73947,1121,58269,"",1.67,0.89,0.97,0.79,1.02,1.09,1.09,"",12,6.6,53,6.1,5737251,11.9,879149,9.4,-12083,-14.0,59,5.6,3025,5.5
"01045","5","238","75","0","2025","A","",43,204,9918969,2224257,11103,933,48523,"",0.77,0.34,0.24,0.36,0.26,0.72,0.72,"",1,2.4,6,3.0,766265,8.4,68833,3.2,-2523,-18.5,43,4.8,2219,4.8
"01047","5","238","75","0","2025","A","",33,247,13832716,3341527,20369,1077,55984,"",0.68,0.64,0.70,0.74,0.53,1.09,1.09,"",-1,-2.9,-6,-2.4,1724751,14.2,321238,10.6,-15621,-43.4,155,16.8,8047,16.8
"01049","5","238","75","0","2025","A","",80,571,37408698,5890979,50662,1261,65553,"",1.04,0.72,0.89,0.59,0.89,1.25,1.25,"",6,8.1,19,3.4,-386788,-1.0,-43188,-0.7,3866,8.3,-55,-4.2,-2855,-4.2
"01051","5","238","75","0","2025","A","",132,805,54164616,9796400,53335,1294,67299,"",1.43,1.09,1.49,1.14,1.07,1.37,1.37,"",8,6.5,52,6.9,4558312,9.2,810914,9.0,6263,13.3,28,2.2,1443,2.2
"01053","5","238","75","0","2025","A","",50,281,16105663,3463140,33152,1101,57231,"",1.07,0.65,0.70,0.68,1.08,1.08,1.08,"",4,8.7,28,11.1,2766550,20.7,567607,19.6,11473,52.9,87,8.6,4525,8.6
"01055","5","238","75","0","2025","A","",116,856,45999864,8754740,52284,1033,53728,"",0.93,0.77,0.87,0.61,0.57,1.12,1.12,"",3,2.7,65,8.2,5007870,12.2,221433,2.6,-15906,-23.3,37,3.7,1927,3.7
"01057","5","238","75","0","2025","A","",20,122,7295491,1765186,7519,1152,59881,"",1.15,0.92,1.07,1.20,0.99,1.16,1.16,"",-4,-16.7,0,0.0,1317057,22.0,371503,26.7,-3214,-29.9,208,22.0,10777,21.9
"01059","5","238","75","0","2025","A","",45,182,9821226,1992229,16534,1035,53815,"",1.31,0.50,0.54,0.46,0.50,1.08,1.08,"",3,7.1,24,15.2,576252,6.2,321576,19.2,1712,11.6,-89,-7.9,-4636,-7.9
"01061","5","238","75","0","2025","A","",36,129,5114816,1394595,6795,763,39701,"",1.20,0.69,0.63,0.61,0.57,0.91,0.91,"",-2,-5.3,-4,-3.0,-378808,-6.9,-60358,-4.1,-3750,-35.6,-31,-3.9,-1579,-3.8
"01063","5","238","75","0","2025","A","N",2,0,0,0,0,0,0,"N",0.24,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01065","5","238","75","0","2025","A","",20,171,10938492,1841029,6860,1233,64093,"",1.18,1.92,2.46,1.97,1.16,1.29,1.28,"",2,11.1,8,4.9,959903,9.6,-12871,-0.7,-7704,-52.9,56,4.8,2906,4.7
"01067","5","238","75","0","2025","A","",16,118,5956123,1232064,2960,974,50654,"",0.76,0.94,0.82,0.82,0.36,0.87,0.87,"",0,0.0,4,3.5,212584,3.7,127333,11.5,-751,-20.2,9,0.9,456,0.9
"01069","5","238","75","0","2025","A","",153,1289,75343568,13824747,51442,1124,58451,"",0.81,0.75,0.78,0.66,0.40,1.04,1.04,"",0,0.0,24,1.9,5775248,8.3,-299171,-2.1,-13596,-20.9,67,6.3,3474,6.3
"01071","5","238","75","0","2025","A","",80,667,37144256,7080820,26297,1070,55661,"",1.32,1.32,1.42,1.16,0.63,1.07,1.07,"",1,1.3,23,3.6,2532446,7.3,-222996,-3.1,-14426,-35.4,37,3.6,1937,3.6
"01073","5","238","75","0","2025","A","",958,12148,963076029,141926876,803080,1525,79282,"",0.83,0.98,1.04,0.94,0.79,1.06,1.06,"",12,1.3,548,4.7,91775250,10.5,9148955,6.9,-219808,-21.5,81,5.6,4173,5.6
"01075","5","238","75","0","2025","A","",13,56,3034387,655863,4845,1042,54185,"",0.90,0.50,0.52,0.51,0.64,1.03,1.03,"",1,8.3,-4,-6.7,41118,1.4,-61940,-8.6,-1370,-22.0,83,8.7,4297,8.6
"01077","5","238","75","0","2025","A","",130,1405,95285580,15673574,111092,1304,67819,"",0.99,1.36,1.90,1.28,1.33,1.40,1.40,"",4,3.2,111,8.6,19236680,25.3,2006468,14.7,-14945,-11.9,174,15.4,9037,15.4
"01079","5","238","75","0","2025","A","",40,226,13488672,2269025,14269,1146,59596,"",1.39,1.22,1.42,1.22,1.10,1.17,1.17,"",3,8.1,-19,-7.8,-161066,-1.2,-298883,-11.6,-5254,-26.9,75,7.0,3902,7.0
"01081","5","238","75","0","2025","A","",218,1796,105053063,19693061,79657,1125,58485,"",0.96,0.79,0.82,0.77,0.46,1.05,1.04,"",13,6.3,66,3.8,9116853,9.5,1048762,5.6,-8790,-9.9,58,5.4,3015,5.4
"01083","5","238","75","0","2025","A","",171,1759,117215143,20063117,91507,1282,66641,"",1.55,1.51,1.57,1.33,0.82,1.04,1.04,"",17,11.0,220,14.3,20151970,20.8,2352962,13.3,13238,16.9,69,5.7,3586,5.7
"01085","5","238","75","0","2025","A","",11,75,3787767,898750,3768,970,50448,"",1.04,0.93,0.79,0.97,0.45,0.84,0.84,"",1,10.0,-7,-8.5,-194750,-4.9,-99193,-9.9,753,25.0,32,3.4,1682,3.4
"01087","5","238","75","0","2025","A","N",5,0,0,0,0,0,0,"N",0.32,0,0,0,0,0,0,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","238","75","0","2025","A","",580,5213,394173858,57209697,434788,1454,75617,"",0.81,0.66,0.63,0.62,0.69,0.95,0.95,"",36,6.6,449,9.4,66105839,20.2,4175390,7.9,69875,19.1,130,9.8,6752,9.8
"01091","5","238","75","0","2025","A","",18,143,9347834,1265843,4012,1260,65522,"",0.62,0.59,0.69,0.43,0.26,1.17,1.17,"",1,5.9,7,5.1,73103,0.8,-228558,-15.3,-4112,-50.6,-56,-4.3,-2884,-4.2
"01093","5","238","75","0","2025","A","",15,87,3965445,1021703,7049,879,45711,"",0.41,0.26,0.24,0.26,0.26,0.92,0.92,"",2,15.4,9,11.5,485745,14.0,161775,18.8,947,15.5,23,2.7,1195,2.7
"01095","5","238","75","0","2025","A","",139,701,39156508,7794363,48143,1075,55878,"",1.06,0.51,0.57,0.45,0.55,1.11,1.11,"",9,6.9,21,3.1,2761238,7.6,437003,5.9,-9092,-15.9,45,4.4,2329,4.3
"01097","5","238","75","0","2025","A","",659,8072,608183742,100256913,503915,1449,75348,"",1.08,1.38,1.63,1.39,1.03,1.18,1.18,"",20,3.1,-140,-1.7,18752686,3.2,385809,0.4,-61087,-10.8,69,5.0,3574,5.0
"01099","5","238","75","0","2025","A","",14,46,2326294,512130,2694,981,51034,"",0.58,0.23,0.21,0.22,0.15,0.91,0.91,"",2,16.7,3,7.0,283756,13.9,12595,2.5,1118,70.9,66,7.2,3441,7.2
"01101","5","238","75","0","2025","A","",244,3254,233066094,35702786,178764,1378,71634,"",0.67,0.74,0.82,0.77,0.55,1.12,1.12,"",5,2.1,135,4.3,20947077,9.9,1670727,4.9,30254,20.4,70,5.4,3631,5.3
"01103","5","238","75","0","2025","A","",238,2314,174055382,26971887,89443,1446,75205,"",1.43,1.27,1.52,1.11,0.61,1.20,1.20,"",3,1.3,64,2.8,16706676,10.6,-129427,-0.5,-67418,-43.0,101,7.5,5280,7.6
"01105","5","238","75","0","2025","A","N",6,0,0,0,0,0,0,"N",0.64,0,0,0,0,0,0,"N",1,20.0,0,0,0,0,0,0,0,0,0,0,0,0
"01107","5","238","75","0","2025","A","",17,67,3721487,645303,3818,1069,55614,"",0.92,0.54,0.57,0.51,0.44,1.05,1.05,"",-1,-5.6,-47,-41.2,-2916948,-43.9,-600382,-48.2,-1367,-26.4,-46,-4.1,-2364,-4.1
"01109","5","238","75","0","2025","A","",23,132,6859981,1341133,9836,996,51806,"",0.57,0.25,0.25,0.23,0.24,0.96,0.96,"",3,15.0,7,5.6,771072,12.7,19469,1.5,-1375,-12.3,56,6.0,2932,6.0
"01111","5","238","75","0","2025","A","",24,138,8389324,2160372,14286,1172,60939,"",1.00,0.84,1.15,1.19,0.96,1.36,1.36,"",2,9.1,7,5.3,1121845,15.4,691537,47.1,4712,49.2,106,9.9,5533,10.0
"01113","5","238","75","0","2025","A","",89,538,31465667,6323001,40713,1125,58495,"",1.46,1.15,1.36,1.14,1.19,1.18,1.18,"",5,6.0,-16,-2.9,-326128,-1.0,-398514,-5.9,-12763,-23.9,22,2.0,1135,2.0
"01115","5","238","75","0","2025","A","",198,1225,80205004,13496168,59637,1259,65487,"",1.92,1.64,1.87,1.44,1.13,1.14,1.14,"",12,6.5,109,9.8,10071487,14.4,1415910,11.7,-5814,-8.9,50,4.1,2639,4.2
"01117","5","238","75","0","2025","A","",416,3494,261602818,38259085,162074,1440,74861,"",1.11,1.23,1.33,1.01,0.64,1.08,1.08,"",22,5.6,32,0.9,11772551,4.7,767975,2.0,-13433,-7.7,52,3.7,2697,3.7
"01119","5","238","75","0","2025","A","",8,23,881866,277043,5847,735,38204,"",0.55,0.24,0.18,0.29,0.93,0.76,0.76,"",3,60.0,14,155.6,610457,224.9,184272,198.6,3542,153.7,127,20.9,6584,20.8
"01121","5","238","75","0","2025","A","",78,549,33780981,6816168,37296,1184,61579,"",0.98,0.52,0.52,0.52,0.48,1.01,1.01,"",0,0.0,-35,-6.0,-299181,-0.9,-332917,-4.7,-15938,-29.9,61,5.4,3173,5.4
"01123","5","238","75","0","2025","A","",60,355,18113002,3857687,26867,981,51011,"",1.14,0.82,0.86,0.69,0.63,1.05,1.05,"",5,9.1,11,3.2,1376797,8.2,195404,5.3,638,2.4,44,4.7,2312,4.7
"01125","5","238","75","0","2025","A","",312,3219,212752925,37512102,124254,1271,66098,"",1.15,0.98,1.04,1.03,0.56,1.07,1.07,"",10,3.3,175,5.7,27146036,14.6,3164883,9.2,-27655,-18.2,99,8.4,5132,8.4
"01127","5","238","75","0","2025","A","",62,239,12482961,2562953,15204,1005,52285,"",0.81,0.38,0.39,0.31,0.27,1.04,1.04,"",-4,-6.1,-37,-13.4,-1783092,-12.5,-516989,-16.8,-9490,-38.4,10,1.0,550,1.1
"01129","5","238","75","0","2025","A","",20,101,5145793,1167017,12141,981,51033,"",1.25,0.56,0.31,0.56,0.74,0.55,0.55,"",1,5.3,34,50.7,2054404,66.5,319845,37.8,-1345,-10.0,90,10.1,4720,10.2
"01131","5","238","75","0","2025","A","",9,91,5437316,1178966,3059,1149,59751,"",0.53,1.01,1.01,1.23,0.56,1.00,1.00,"",1,12.5,23,33.8,1347778,33.0,381571,47.9,194,6.8,-3,-0.3,-169,-0.3
"01133","5","238","75","0","2025","A","",24,144,9249511,1450994,7803,1235,64233,"",0.86,0.53,0.64,0.43,0.32,1.21,1.21,"",0,0.0,3,2.1,1378929,17.5,-15,0.0,-879,-10.1,164,15.3,8545,15.3
"01999","5","238","75","0","2025","A","",706,3678,304397597,52300128,315718,1592,82773,"",0.79,1.35,1.20,1.14,0.78,0.89,0.89,"",-80,-10.2,359,10.8,51523253,20.4,6063241,13.1,-121926,-27.9,127,8.7,6593,8.7
"02000","3","238","55","0","2025","A","",0,1,99050,99050,1486,1758,91431,"",0.00,0.46,0.74,29.94,27.68,1.47,1.47,"",-1,-100.0,1,100.0,63050,175.1,63050,175.1,889,148.9,-319,-15.4,-16569,-15.3
"02000","5","238","55","0","2025","A","",1466,7890,700534914,445069810,6699175,1708,88792,"",1.19,0.71,0.83,0.82,0.52,1.18,1.18,"",14,1.0,236,3.1,63281128,9.9,38502718,9.5,339718,5.3,107,6.7,5534,6.6
"02016","5","238","75","0","2025","A","N",3,0,0,0,0,0,0,"N",0.40,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"02020","5","238","75","0","2025","A","",536,3714,345688706,209004561,3140358,1790,93075,"",1.25,0.75,0.89,0.86,0.55,1.19,1.19,"",-5,-0.9,29,0.8,32239438,10.3,13035836,6.7,80495,2.6,154,9.4,8010,9.4
"02050","3","238","75","0","2025","A","",0,1,99050,99050,1486,1758,91431,"",0.00,24.72,52.59,2012.52,1793.76,1.96,1.96,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02060","5","238","75","0","2025","A","N",1,0,0,0,0,0,0,"N",0.18,0,0,0,0,0,0,"N",-2,-66.7,0,0,0,0,0,0,0,0,0,0,0,0
"02063","5","238","75","0","2025","A","N",12,0,0,0,0,0,0,"N",0.62,0,0,0,0,0,0,"N",2,20.0,0,0,0,0,0,0,0,0,0,0,0,0
"02066","5","238","75","0","2025","A","N",5,0,0,0,0,0,0,"N",0.70,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02068","5","238","75","0","2025","A","N",4,0,0,0,0,0,0,"N",0.55,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0
"02070","5","238","75","0","2025","A","N",2,0,0,0,0,0,0,"N",0.27,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"02090","5","238","75","0","2025","A","",181,1139,111161985,67185475,1009926,1878,97632,"",1.50,0.92,1.24,1.29,0.82,1.35,1.35,"",3,1.7,-9,-0.8,3443206,3.2,2373780,3.7,7788,0.8,74,4.1,3828,4.1
"02100","5","238","75","0","2025","A","",7,12,547856,441200,6619,860,44723,"",0.86,0.34,0.26,0.27,0.17,0.76,0.76,"N",-1,-12.5,0,0,0,0,0,0,0,0,0,0,0,0
"02105","5","238","75","0","2025","A","N",5,0,0,0,0,0,0,"N",0.73,0,0,0,0,0,0,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0
"02110","5","238","75","0","2025","A","",64,268,20308303,14540908,218108,1460,75895,"",1.12,0.45,0.47,0.61,0.39,1.05,1.05,"",3,4.9,-9,-3.2,656792,3.3,517799,3.7,-774,-0.4,95,7.0,4908,6.9
"02122","5","238","75","0","2025","A","",172,583,41076034,29768129,451377,1354,70416,"",1.46,0.80,0.85,0.98,0.62,1.06,1.06,"",2,1.2,20,3.6,1857995,4.7,2430765,8.9,12084,2.8,15,1.1,778,1.1
"02130","5","238","75","0","2025","A","",24,103,8168981,5400217,81006,1523,79182,"",0.78,0.43,0.51,0.51,0.33,1.20,1.20,"",-4,-14.3,-1,-1.0,907740,12.5,497776,10.2,6412,8.6,178,13.2,9250,13.2
"02150","5","238","75","0","2025","A","",19,68,5414888,3765972,56489,1526,79339,"",0.81,0.36,0.45,0.41,0.24,1.27,1.27,"",-2,-9.5,0,0.0,396433,7.9,398102,11.8,1642,3.0,96,6.7,4992,6.7
"02164","5","238","75","0","2025","A","N",1,0,0,0,0,0,0,"N",0.19,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02170","5","238","75","0","2025","A","",343,1621,126695474,86176637,1303485,1503,78163,"",2.43,1.62,2.06,1.75,1.13,1.28,1.28,"",15,4.6,179,12.4,16031981,14.5,11964726,16.1,142098,12.2,27,1.8,1402,1.8
"02180","5","238","75","0","2025","A","N",4,0,0,0,0,0,0,"N",0.28,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0
"02185","5","238","75","0","2025","A","N",8,0,0,0,0,0,0,"N",0.72,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02188","5","238","75","0","2025","A","",5,42,6935286,3503758,52556,3207,166780,"",0.67,0.42,0.72,0.57,0.36,1.75,1.75,"",1,25.0,-17,-28.8,-2291887,-24.8,-1705262,-32.7,-33207,-38.7,178,5.9,9275,5.9
"02195","5","238","75","0","2025","A","N",5,0,0,0,0,0,0,"N",0.58,0,0,0,0,0,0,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0
"02198","5","238","75","0","2025","A","",12,22,1461204,1224094,18363,1282,66671,"",1.02,0.31,0.36,0.50,0.32,1.16,1.16,"N",2,20.0,0,0,0,0,0,0,0,0,0,0,0,0
"02220","5","238","75","0","2025","A","N",16,0,0,0,0,0,0,"N",0.79,0,0,0,0,0,0,"N",-2,-11.1,0,0,0,0,0,0,0,0,0,0,0,0
"02230","5","238","75","0","2025","A","N",0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0
"02240","5","238","75","0","2025","A","",8,38,3582765,2248770,33733,1817,94491,"",0.65,0.37,0.38,0.39,0.25,1.03,1.03,"",-2,-20.0,-6,-13.6,-855307,-19.3,-609452,-21.3,-11459,-25.4,-105,-5.5,-5428,-5.4
"02275","5","238","75","0","2025","A","",5,17,799764,711046,10669,923,47986,"",1.03,0.64,0.50,0.91,0.59,0.79,0.79,"",-2,-28.6,-2,-10.5,-155104,-16.2,-90993,-11.3,-1854,-14.8,-27,-2.8,-1404,-2.8
"02282","5","238","75","0","2025","A","N",1,0,0,0,0,0,0,"N",0.48,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02290","5","238","75","0","2025","A","N",4,0,0,0,0,0,0,"N",0.34,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0
"02999","5","238","75","0","2025","A","N",20,0,0,0,0,0,0,"N",0.20,0,0,0,0,0,0,"N",1,5.3,0,0,0,0,0,0,0,0,0,0,0,0
"04000","3","238","55","0","2025","A","N",7,0,0,0,0,0,0,"N",5.07,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","5","238","55","0","2025","A","",12462,147899,11270494566,1763530059,22465324,1465,76204,"",1.13,1.37,1.43,1.26,0.96,1.04,1.04,"",293,2.4,-2734,-1.8,156315819,1.4,-38475552,-2.1,-1853569,-7.6,46,3.2,2421,3.3
"04001","5","238","75","0","2025","A","",29,229,15450690,2987450,62708,1298,67470,"",0.95,0.41,0.47,0.78,0.69,1.17,1.17,"N",1,3.6,0,0,0,0,0,0,0,0,0,0,0,0
"04003","5","238","75","0","2025","A","",141,996,55595641,11563578,125648,1073,55800,"",1.12,0.86,0.79,0.98,0.69,0.91,0.91,"",-4,-2.8,-138,-12.2,-7946153,-12.5,-1183776,-9.3,-75759,-37.6,-5,-0.5,-258,-0.5
"04005","3","238","75","0","2025","A","N",1,0,0,0,0,0,0,"N",39.32,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"04005","5","238","75","0","2025","A","",254,1997,117951161,23215729,256616,1136,59074,"",1.25,0.90,0.93,0.91,0.69,1.04,1.04,"",4,1.6,-19,-0.9,5895393,5.3,-528862,-2.2,-27803,-9.8,67,6.3,3477,6.3
"04007","5","238","75","0","2025","A","",88,457,27696242,4853636,29472,1164,60549,"",1.60,0.89,0.90,0.83,0.39,1.01,1.01,"",-5,-5.4,-33,-6.7,1036180,3.9,-704438,-12.7,-554,-1.8,117,11.2,6094,11.2
"04009","3","238","75","0","2025","A","N",2,0,0,0,0,0,0,"N",522.13,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"04009","5","238","75","0","2025","A","N",40,0,0,0,0,0,0,"N",1.30,0,0,0,0,0,0,"N",-4,-9.1,0,0,0,0,0,0,0,0,0,0,0,0
"04011","5","238","75","0","2025","A","N",6,0,0,0,0,0,0,"N",1.18,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"04012","5","238","75","0","2025","A","N",20,0,0,0,0,0,0,"N",0.95,0,0,0,0,0,0,"N",4,25.0,0,0,0,0,0,0,0,0,0,0,0,0
"04013","3","238","75","0","2025","A","N",4,0,0,0,0,0,0,"N",4.62,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"04013","5","238","75","0","2025","A","",7780,112986,9092408138,1358554511,17046867,1548,80473,"",1.12,1.48,1.55,1.33,1.06,1.05,1.05,"",125,1.6,-2739,-2.4,65021396,0.7,-36575690,-2.6,-1072569,-5.9,48,3.2,2466,3.2
"04015","5","238","75","0","2025","A","",542,3158,175195461,36957567,494202,1067,55472,"",2.16,1.68,1.75,1.54,1.31,1.04,1.04,"",19,3.6,-90,-2.8,-5819457,-3.2,-1373159,-3.6,-59970,-10.8,-5,-0.5,-253,-0.5
"04017","5","238","75","0","2025","A","",150,1037,55043980,11643778,170489,1021,53067,"",1.55,1.11,1.13,1.26,1.10,1.02,1.02,"",3,2.0,105,11.3,5644522,11.4,562508,5.1,-49113,-22.4,2,0.2,78,0.1
"04019","5","238","75","0","2025","A","",1442,14433,876863497,158824162,1700266,1168,60754,"",1.26,1.11,1.05,1.09,0.84,0.94,0.94,"",14,1.0,-352,-2.4,7521024,0.9,-6607312,-4.0,-449049,-20.9,37,3.3,1953,3.3
